epoch,train_loss,val_loss,train_acc,val_acc,lr,phase
1,2.0317514769236245,1.9302861795090793,19.276734498222194,28.37837837837838,0.00999953357982261,STD
2,1.9944530487060548,1.8627932604990507,21.359485825716135,31.930899972137084,0.009998134406309553,STD
3,1.9324620294570922,1.7112788735774525,28.124663232713583,41.139593201448875,0.009995802740501932,STD
4,1.8633724519941541,1.6056561030839618,34.17080518803746,47.269434382836444,0.00999253901741414,STD
5,1.8128200017081366,1.5342763160404407,37.79914645396245,51.04485929228197,0.009988343845952697,STD
6,1.7878998549779257,1.4937159011238499,39.215338511540544,54.24909445528002,0.009983218008802648,STD
7,1.7604595449235705,1.466993786786732,40.74239033765237,56.18556701030928,0.009977162462281544,STD
8,1.7414065737194484,1.4726973583823757,42.401588666614614,55.47506269155754,0.009970178336161019,STD
9,1.7398732370800443,1.4378513651981688,42.19028073567583,56.24129283923099,0.00996226693345601,STD
10,1.7042683500713771,1.4077018551659166,44.417427483550526,57.745890220117026,0.009953429730181654,STD
11,1.6999828391604954,1.3968714757969505,44.6306942992325,58.3170799665645,0.009943668375077925,STD
12,1.7115720997916328,1.4043381695161785,43.9098512720566,58.42853162440791,0.00993298468930201,STD
13,1.6789649279912313,1.3922290498750252,45.768330038703795,59.5848425745333,0.009921380666088558,STD
14,1.6744112502204047,1.3777239688655787,46.264146106512605,59.97492337698523,0.009908858470377794,STD
15,1.6661294847064547,1.3839104897097538,46.841728125685876,60.002786291446085,0.009895420438411616,STD
16,1.6588351594077215,1.3632575263056839,46.99435471254459,60.56004458066314,0.009881069077297725,STD
17,1.6575053151448567,1.368761720364554,47.44117817028406,61.00585121203678,0.00986580706454188,STD
18,1.6481283473968507,1.355097702720709,47.527559676498434,61.07550849818891,0.009849637247548358,STD
19,1.660540369881524,1.3655025174743252,47.10705415543251,60.79687935358039,0.009832562643088726,STD
20,1.6494739686118232,1.340327779452006,47.54756563240969,62.58010587907495,0.009814586436739,STD
21,1.6380005349053277,1.321398585511927,48.45064846500715,63.346336026748396,0.009795711982285318,STD
22,1.6278408569759792,1.3445035355132924,48.463200290528974,62.09250487601003,0.009775942801098243,STD
23,1.616323003768921,1.3326172525422615,49.34918397078821,63.6110337141265,0.00975528258147577,STD
24,1.6123317284054226,1.321740308351684,49.42612785429783,63.513513513513516,0.009733735177955222,STD
25,1.6302881632910835,1.3254603429844505,48.99030555415968,63.70855391473948,0.009711304610594107,STD
26,1.6301705990897284,1.3315342821572955,48.82354149579788,63.931457230426304,0.009687995064220106,STD
27,1.6191323195563423,1.3394245745842916,49.74407489083899,63.77821120089161,0.009663810887650323,STD
28,1.617760083410475,1.3292918696738125,49.449086696707894,64.76734466425188,0.009638756592879928,STD
29,1.6052552848392063,1.320146451916611,49.89500867172253,64.92059069378656,0.009612836854240364,STD
30,1.620525935490926,1.2899224193472612,49.353725240056015,65.24101421008638,0.009586056507527271,STD
31,1.5962251414193047,1.3069608305629932,50.99307368909097,64.4608526051825,0.009558420549098274,STD
32,1.5932109668519763,1.3300071097256845,50.39435783693722,64.47478406241292,0.009529934134940824,STD
33,1.589785204463535,1.3204798029180158,50.71810042748747,65.00417943716913,0.009500602579710263,STD
34,1.5780194605721367,1.2921662184230067,51.35045481112767,65.784341042073,0.009470431355738263,STD
